person_a,person_b,relation,source
Dimitris John Bertsimas,Daniel J. Kleitman,advisor,mgp:37057
Dimitris John Bertsimas,Amedeo Rodolfo Odoni,advisor,mgp:37057
Dimitris John Bertsimas,"Aghassi, Michele",student,mgp:37057
Dimitris John Bertsimas,"Bandi, Chaitanya",student,mgp:37057
Dimitris John Bertsimas,"Bandi, Hari",student,mgp:37057
Dimitris John Bertsimas,"Becker, Adrian",student,mgp:37057
Dimitris John Bertsimas,"Bjarnadottir, Margret",student,mgp:37057
Dimitris John Bertsimas,"Boucher, Benjamin",student,mgp:37057
Dimitris John Bertsimas,"Boussioux, Leonard",student,mgp:37057
Dimitris John Bertsimas,"Brown, David",student,mgp:37057
Dimitris John Bertsimas,"Bushueva, Natasha",student,mgp:37057
Dimitris John Bertsimas,"Caramanis, Constantine",student,mgp:37057
Dimitris John Bertsimas,"Chang, Allison",student,mgp:37057
Dimitris John Bertsimas,"Chi, Zhihang",student,mgp:37057
Dimitris John Bertsimas,"Chryssikou, Efthalia",student,mgp:37057
Dimitris John Bertsimas,"Copenhaver, Martin",student,mgp:37057
Dimitris John Bertsimas,"Cory-Wright, Ryan",student,mgp:37057
Dimitris John Bertsimas,"Czerwinski, David",student,mgp:37057
Dimitris John Bertsimas,"de Boer, Sanne",student,mgp:37057
Dimitris John Bertsimas,"Delarue, Arthur",student,mgp:37057
Dimitris John Bertsimas,"Demir, Ramazan",student,mgp:37057
Dimitris John Bertsimas,"de Moor, Danique",student,mgp:37057
Dimitris John Bertsimas,"de Ruiter, Frans",student,mgp:37057
Dimitris John Bertsimas,"Digalakis, Vassilis",student,mgp:37057
Dimitris John Bertsimas,"Doan, Xuan Vinh",student,mgp:37057
Dimitris John Bertsimas,"Dunn, Jack",student,mgp:37057
Dimitris John Bertsimas,"Dunning, Iain",student,mgp:37057
Dimitris John Bertsimas,"Fertis, Apostolos",student,mgp:37057
Dimitris John Bertsimas,"Fontana, Matthew",student,mgp:37057
Dimitris John Bertsimas,"Frankovich, Michael",student,mgp:37057
Dimitris John Bertsimas,"Gamarnik, David",student,mgp:37057
Dimitris John Bertsimas,"Goemans, Michel",student,mgp:37057
Dimitris John Bertsimas,"Gupta, Shubham",student,mgp:37057
Dimitris John Bertsimas,"Gupta, Vishal",student,mgp:37057
Dimitris John Bertsimas,"Gurnee, Wes",student,mgp:37057
Dimitris John Bertsimas,"Hawkins, Jeffrey",student,mgp:37057
Dimitris John Bertsimas,"Hsu, Leon",student,mgp:37057
Dimitris John Bertsimas,"Iancu, Dan",student,mgp:37057
Dimitris John Bertsimas,"Johnson, Nicholas",student,mgp:37057
Dimitris John Bertsimas,"Kallus, Nathan",student,mgp:37057
Dimitris John Bertsimas,"Katz-Rogozhnikov, Dmitriy",student,mgp:37057
Dimitris John Bertsimas,"Kim, Adam Cheol Woo",student,mgp:37057
Dimitris John Bertsimas,"King, Angie",student,mgp:37057
Dimitris John Bertsimas,"Kitane, Driss",student,mgp:37057
Dimitris John Bertsimas,"Koduri, Nihal",student,mgp:37057
Dimitris John Bertsimas,"Korolko, Nikita",student,mgp:37057
Dimitris John Bertsimas,"Koukouvinos, Theodoros",student,mgp:37057
Dimitris John Bertsimas,"Koulouras, Angelos",student,mgp:37057
Dimitris John Bertsimas,"Kung, Jerry",student,mgp:37057
Dimitris John Bertsimas,"Li, Michael",student,mgp:37057
Dimitris John Bertsimas,"Lin, Zhen",student,mgp:37057
Dimitris John Bertsimas,"Luo, Andrew",student,mgp:37057
Dimitris John Bertsimas,"Ma, Yu",student,mgp:37057
Dimitris John Bertsimas,"Martin, Sebastien",student,mgp:37057
Dimitris John Bertsimas,"McCord, Chris (Christopher)",student,mgp:37057
Dimitris John Bertsimas,"Mersereau, Adam",student,mgp:37057
Dimitris John Bertsimas,"Milner, Joseph",student,mgp:37057
Dimitris John Bertsimas,"Misic, Velibor",student,mgp:37057
Dimitris John Bertsimas,"Mourtzinou, Georgia",student,mgp:37057
Dimitris John Bertsimas,"Mundru, Nishanth",student,mgp:37057
Dimitris John Bertsimas,"Na, Liangyuan",student,mgp:37057
Dimitris John Bertsimas,"Nakazato, Daisuke",student,mgp:37057
Dimitris John Bertsimas,"Natarajan, Karthik",student,mgp:37057
Dimitris John Bertsimas,"Ng, Yee Sian",student,mgp:37057
Dimitris John Bertsimas,"Niño-Mora, José",student,mgp:37057
Dimitris John Bertsimas,"Norton, Carolyn",student,mgp:37057
Dimitris John Bertsimas,"O'Hair, Allison",student,mgp:37057
Dimitris John Bertsimas,"Orfanoudaki, Agni",student,mgp:37057
Dimitris John Bertsimas,"Ozturk, Berk",student,mgp:37057
Dimitris John Bertsimas,"Pachamanova, Dessislava",student,mgp:37057
